dataset,annotation_kind,source_checked,candidate_records,unique_dataset_slide_ids,usable_raw_slides_exact,usable_raw_files_exact,exact_matched_records,case_level_candidate_slides,local_h5_matches,standalone_patch_or_fov_count,reported_or_observed_nuclei,license_or_access_note,notes
Pan-Cancer-Nuclei-Seg,WSI-scale DICOM ANN polygons; slide-level nuclei counts,data\reports\pancancer_nuclei_seg\pancancer_dx_embedding_source_manifest.csv,6075,6065,6065.0,6065.0,6075.0,,0,,6170915689,,Exact DX slide match to the physical bucket scan.
MoNuSeg,Patch-level instance masks/polygons; TCGA source slide barcode,RationAI/MoNuSeg Hugging Face parquet mirror,51,51,51.0,51.0,51.0,,0,51,30837,HF mirror card lists CC BY-NC-SA 4.0.,Exact barcode match to the physical bucket scan.
NuCLS,"FOV-level nucleus coordinates, boxes, boundaries, masks",Official NuCLS nucls_slide_names.txt,125,125,124.0,124.0,124.0,,0,single-rater: 2168 uncorrected FOVs / 1744 corrected FOVs,single-rater: 65568 uncorrected / 59485 corrected nuclei,NuCLS site states CC0 1.0.,Official slide list is shortened as TCGA-case-DXn; matched by case + DX section. Missing from bucket scan: TCGA-A2-A0D2-DX1.
CryoNuSeg,Frozen-section patch-level manual nuclei masks/boundaries,masih4/CryoNuSeg Selected_WSIs.xlsx,30,30,0.0,0.0,0.0,66.0,0,30,8044,"GitHub code MIT; full dataset on Kaggle, check Kaggle terms.","The selected WSI table exposes old GDC UUID URLs that do not match the current bucket scan. Cases do overlap, but exact source slides are not reconnectable from this file alone."
PanNuke,Patch-level instance masks and 5-class nucleus labels,RationAI/PanNuke Hugging Face card plus Warwick/PanNuke docs,7904,0,0.0,0.0,0.0,0.0,0,7904,205343,HF mirror card lists CC BY-NC-SA 4.0.,"Public metadata checked has image/instances/categories/tissue, not TCGA WSI IDs."
HoVer-Net / CoNSeP,Patch-level nuclei boundaries and phenotype labels,HoVer-Net/CoNSeP dataset descriptions,41,0,0.0,0.0,0.0,0.0,0,41,24319,,"CoNSeP is UHCW colorectal data, not TCGA; no bucket reconnect path."
OpenTME,Slide-level aggregate TME/cell readouts; gated access,Aignostics/OpenTME Hugging Face card,3634,3634,,,,,0,,aggregate counts/densities for nine cell types,Gated non-commercial academic access; card prohibits training labels or pseudo-labels that replicate the analysis.,Exact barcode overlap cannot be audited without gated files.
CellViT,"Model/workflow, not a reconnectable slide dataset",chat.txt mention,0,0,0.0,0.0,0.0,0.0,0,0,0,,"Use as model reference/teacher candidate, not as a separate overlap source."
StarDist,"Segmentation model/package, not a reconnectable slide dataset",chat.txt mention,0,0,0.0,0.0,0.0,0.0,0,0,0,,
Cellpose,"Segmentation model/package, not a reconnectable slide dataset",chat.txt mention,0,0,0.0,0.0,0.0,0.0,0,0,0,,
